Species,Depth,Nutrients,Code,Time,Days,NPP,R,GPP,par,temp
L.hyperboea,30,NO,LH_1-30m,2,16,-33.34,35.22,1.88,668.45,18.7
L.hyperboea,30,NO,LH_1-30m,3,23,-67.35,62.78,-4.57,1520.71,17.6
L.hyperboea,30,NO,LH_1-30m,4,30,-4.05,63.99,59.93,850.61,19.2
L.hyperboea,30,NO,LH_1-30m,5,36,0,0,0,NA,NA
L.hyperboea,30,NO,LH_1-30m,6,56,0,0,0,NA,NA
L.hyperboea,30,NO,LH_2-30m,1,9,25.6,13.7,39.29,173.4,17.2
L.hyperboea,30,NO,LH_2-30m,2,16,-28.99,50.84,21.86,668.72,18.6
L.hyperboea,30,NO,LH_2-30m,3,23,-20.13,56.9,36.76,1525.65,17.6
L.hyperboea,30,NO,LH_2-30m,4,30,20.32,32.91,53.23,863.27,19.2
L.hyperboea,30,NO,LH_2-30m,5,36,62.39,68.37,130.76,936.02,20.2
L.hyperboea,30,NO,LH_2-30m,6,56,0,0,0,NA,NA
L.hyperboea,30,NO,LH_3-30m,1,9,17.09,18.29,35.38,170.87,17.2
L.hyperboea,30,NO,LH_3-30m,2,16,22.89,27.35,50.24,667.33,18.6
L.hyperboea,30,NO,LH_3-30m,3,23,65.04,14.07,79.11,1518.86,17.6
L.hyperboea,30,NO,LH_3-30m,4,30,82.01,23.61,105.62,869.53,19.3
L.hyperboea,30,NO,LH_3-30m,5,36,114.91,18.63,133.54,934.89,20.1
L.hyperboea,30,NO,LH_3-30m,6,56,51.62,17.55,69.17,857.33,22.4
L.hyperboea,30,NO,LH_4-30m,1,9,1.69,29.84,31.53,170.64,17.3
L.hyperboea,30,NO,LH_4-30m,2,16,-84.08,82.57,-1.51,666.48,18.6
L.hyperboea,30,NO,LH_4-30m,3,23,0,0,0,NA,NA
L.hyperboea,30,NO,LH_4-30m,4,30,0,0,0,NA,NA
L.hyperboea,30,NO,LH_4-30m,5,36,0,0,0,NA,NA
L.hyperboea,30,NO,LH_4-30m,6,56,0,0,0,NA,NA
L.hyperboea,30,NO,LH_5-30m,1,9,13.05,21.05,34.1,168.06,17.3
L.hyperboea,30,NO,LH_5-30m,2,16,-43.55,65.69,22.14,665.58,18.6
L.hyperboea,30,NO,LH_5-30m,3,23,0,0,0,NA,NA
L.hyperboea,30,NO,LH_5-30m,4,30,0,0,0,NA,NA
L.hyperboea,30,NO,LH_5-30m,5,36,0,0,0,NA,NA
L.hyperboea,30,NO,LH_5-30m,6,56,0,0,0,NA,NA
L.ochroleuca,0,NO,LO_1-0m,1,9,164.31,55.06,219.37,769.03,17.6
L.ochroleuca,0,NO,LO_1-0m,2,16,223.2,65.83,289.04,523.33,17.2
L.ochroleuca,0,NO,LO_1-0m,3,23,194.39,65.69,260.08,1852.1,20.6
L.ochroleuca,0,NO,LO_1-0m,4,30,152.6,47.55,200.15,1750.23,21.1
L.ochroleuca,0,NO,LO_1-0m,5,36,203.65,61.28,264.92,985.35,20.2
L.ochroleuca,0,NO,LO_1-0m,6,56,161.15,75.06,236.21,1756.17,22.9
L.ochroleuca,0,NO,LO_2-0m,1,9,91.74,53.57,145.3,764.54,17.6
L.ochroleuca,0,NO,LO_2-0m,2,16,102.34,68.61,170.95,542.33,17.3
L.ochroleuca,0,NO,LO_2-0m,3,23,140.91,45.97,186.88,1853.7,20.2
L.ochroleuca,0,NO,LO_2-0m,4,30,174.24,48.62,222.86,1751.71,21.2
L.ochroleuca,0,NO,LO_2-0m,5,36,202.35,42.56,244.92,986.9,20.1
L.ochroleuca,0,NO,LO_2-0m,6,56,53.69,72.04,125.73,1756.93,22.9
L.ochroleuca,0,NO,LO_3-0m,1,9,204.25,55.7,259.95,761.58,17.6
L.ochroleuca,0,NO,LO_3-0m,2,16,186.38,66.7,253.07,528,17.3
L.ochroleuca,0,NO,LO_3-0m,3,23,219.93,70.96,290.89,1855.36,20.1
L.ochroleuca,0,NO,LO_3-0m,4,30,180.39,41.11,221.5,1752.37,21.2
L.ochroleuca,0,NO,LO_3-0m,5,36,206.05,45.24,251.29,989.45,20.1
L.ochroleuca,0,NO,LO_3-0m,6,56,114.98,63.93,178.92,1757.78,23
L.ochroleuca,0,NO,LO_4-0m,1,9,185.7,55.24,240.95,759.51,17.7
L.ochroleuca,0,NO,LO_4-0m,2,16,201.3,68.65,269.95,533.47,17.3
L.ochroleuca,0,NO,LO_4-0m,3,23,164.26,36.75,201,1857.2,20
L.ochroleuca,0,NO,LO_4-0m,4,30,230.61,45.57,276.19,1752.48,21.2
L.ochroleuca,0,NO,LO_4-0m,5,36,223.37,32.16,255.54,990.67,20
